Firm,Link,Description,Phone,Address,State,Website,Practice Area
Cain and Herren ALC,https://www.us-barassociation.org/firms/detail/0239cb6b233fb5d6,Our firm holds the most skilled and experience lawyer in Hawaii. It is our main objective to provide valuable case and services.,Phone(s): (808) 242-9350,"2141 West Vineyard Street
Wailuku, Hawaii
96793", Hawaii,N/A,Real Estate
"Carol A. Tribbey, Attorney at Law",https://www.us-barassociation.org/firms/detail/8c66174b4a702b90,"Whether facing a divorce or considering bankruptcy, you need advice you can trust, not empty promises, ballooning legal costs or endless amounts of red tape. At Carol A. Tribbey, Attorney at Law, A Limited Liability Law Company, you will find straight answers, honest advice and an experienced",Phone(s): (808) 263-8637,"417H Uluniu Street
Kailua, Hawaii
96734", Hawaii,N/A,Family Law
Case Lombardi & Pettit A Law Corporation,https://www.us-barassociation.org/firms/detail/15d9b470910e72cd,"Case Lombardi & Pettit, A Law Corporation, tracing its roots back to 1888, is a prominent Hawaii law firm with a diverse civil practice. We are committed to client service and quality representation. Our attorneys and staff are organized into client service groups: Business, Bankruptcy, Estate",Phone(s): (808) 547-5400,"Pacific Guardian Center, Mauka Tower, 737 Bishop Street, Suite 2600
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Commercial Law, Estate Planning, Industry, Real Estate"
Char Hamilton Yoshida & Shimomoto,https://www.us-barassociation.org/firms/detail/73bd0c94b29912fc,"Char Hamilton Campbell & Yoshida is located in Honolulu, Hawaii law and serves clients throughout Hawaii, California, Nevada, Arizona, the District of Columbia, and outside of the United States in Japan and France with a wide variety of legal services. Practice areas include family law, captive",Phone(s): (808) 524-3800,"737 Bishop Street, Suite 2100 Pacific Guardian Center, Mauka Tower
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Commercial Law, Divorce, Employment, Estate Planning, Family Law, Government, Immigration, Litigation, Personal Injury, Real Estate"
Charles H. Brower and Associates,https://www.us-barassociation.org/firms/detail/9d524cf43657fcff,"At Charles H. Brower and Associates, A Law Corporation, in Honolulu, the client comes first. Attorney Charles H. Brower is known among both former clients and fellow lawyers as loyal to his clients and dedicated to working hard to protect their rights.

We have developed an ability to",Phone(s): (808) 526-2688,"900 Fort Street, Suite 1210
Honolulu, Hawaii
96813", Hawaii,N/A,"Employment, Motor Vehicle Accidents, Personal Injury"
"Charles H. Brower and Associates, ALC",https://www.us-barassociation.org/firms/detail/b1f9f637febc3e55,"Charles H. Brower and Associates, ALC handles a wide variety of personal injury and wrongful death matters, including cases involving automobile accidents. The firm provides experienced and compassionate legal representation to clients in Honolulu and throughout Hawaii who have been injured or lost a loved one in an accident.

Firm principal Charles H. Brower brings 35 years of experience litigating personal injury claims to each case he takes on. Mr. Brower's in-depth understanding of this area of law began following his time in law school, when he worked for several years at one of the largest personal injury trial firms in New York. Today, Mr. Brower has the skills and background to handle even the most challenging personal injury cases, and has built an impressive track record of obtaining favorable results in claims that other attorneys hesitate to take on, whether through trial, settlement negotiations, mediation, or arbitration.

At Charles H. Brower and Associates, each of our clients receives a high level of personal attention. Mr. Brower personally handles every aspect of his cases, never passing the work off to a paralegal or inexperienced associate. He truly cares about his clients' recovery, often making after-hours visits to their homes or hospital rooms when they are too injured to meet at his offices. In addition, Mr. Brower takes all personal injury cases on a contingency fee basis, so that his clients can focus on recovering – and not on how they will pay their legal bills.",Phone(s): (808) 526-2688,"Pioneer Plaza, 900 Fort Street, Suite 1210
Honolulu, Hawaii
96813", Hawaii,N/A,"Employment, Litigation, Motor Vehicle Accidents, Personal Injury"
"Christopher D. Thomas, AAL, ACL",https://www.us-barassociation.org/firms/detail/f63dabb58f0b5a03,"Our Commitment to Clients
The stress and strain of a divorce or custody battle can take a toll on people. Trying to work, maintain a regular family schedule for children, and plan financially for an uncertain future create levels of anxiety and worry many people find difficult to bear.",Phone(s): (808) 261-7710,"American Savings Bank Tower, 1001 Bishop Street, Suite 2925
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Criminal Defense, Divorce, Family Law, Government, Industry, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate, Tax"
"Craig W. Polanzi, Attorney at Law",https://www.us-barassociation.org/firms/detail/91ce36170b8953ae,"Craig W. Polanzi, Attorney at Law, is a Divorce and Family Law firm with offices in Aiea, Hawaii. We also provide legal services for adoptions, paternity, and bankruptcy. Our goal is to support families and individuals through life-changing decisions.",Phone(s): (808) 372-0277,"98-030 Hekaha Street, Suite 23
Aiea, Hawaii
96701", Hawaii,N/A,"Bankruptcy, Criminal Defense, Divorce, Family Law, Litigation"
"Cronin, Fried, Sekiya, Kekina & Fairbanks",https://www.us-barassociation.org/firms/detail/7db62e106939b351,"Cronin, Fried, Sekiya, Kekina and Fairbanks, Attorneys at Law is a prominent Honolulu based personal injury firm, serving auto accident clients throughout Hawaii. The firm's award-winning legal team is dedicated to providing their clients with the highest quality legal representation possible, and",Phone(s): (808) 524-1433,"841 Bishop Street
Honolulu, Hawaii
96813", Hawaii,N/A,"Motor Vehicle Accidents, Personal Injury"
"Damon, Key, Leong, Kupchak, Hastert",https://www.us-barassociation.org/firms/detail/020b1cfcbd765c7d,"Damon Key Leong Kupchak Hastert serves the Hawaii business community with the connections and capabilities of an international practice, holding the highest standards for business law and commercial litigation. We are the sole Hawaii firm that is part of the Meritas network of more than 170",Phone(s): (808) 531-8031,"1003 Bishop Street, Suite 1600
Honolulu, Hawaii
96813", Hawaii,N/A,Business Law
Daniel T. Pagliarini Attorney at Law,https://www.us-barassociation.org/firms/detail/9188a581645636d9,"Daniel T. Pagliarini Attorney at Law is ready to help clients throughout Hawaii. With nearly three decades of professional experience, the firm works with clients who have been injured due to the negligent actions of others, such as in cases involving car, truck, and motorcycle accidents; premises",Phone(s): (808) 400-7248,"700 Bishop Street, Suite 2100
Honolulu, Hawaii
96813", Hawaii,N/A,Motor Vehicle Accidents
Danielle Beaver Attorney at Law,https://www.us-barassociation.org/firms/detail/1fbb053558b7dd5d,"Trying to win Social Security Disability benefits on your own can be a difficult task. The Social Security Administration should pay you benefits if your physical or mental condition keeps you from working. Unfortunately, deserving people are denied.

Attorneys Danielle Beaver and Frank Ury",Phone(s): (808) 537-9181,"1188 Bishop St., Suite 1401
Honolulu, Hawaii
96813", Hawaii,N/A,Health Care & Social
Davis Levin Livingston,https://www.us-barassociation.org/firms/detail/3c4269ec751fdc96,"For more than 40 years, Davis Levin Livingston has been helping individuals who have suffered severe bodily injury or the death of a loved one due to negligence. While the firm focuses on complex personal injury, medical malpractice, and birth injury cases, their highly experienced Hawaii attorneys also handle civil rights issues, health care fraud and litigation, consumer rights, qui tam and class actions, whistleblower protections, and more. Their team has successfully secured a number of record-breaking results, totaling more than $100 million.

The attorneys at Davis Levin Livingston are recognized as leaders in the birth injury and medical malpractice fields. The firm has been featured on national news networks and in prestigious publications in Hawaii and on the mainland. They are prepared to fight for you and your family. Call today for a free, confidential consultation.",Phone(s): (808) 740-0633,"851 Fort Street, Suite 400
Honolulu, Hawaii
96813", Hawaii,https://www.davislevin.com/,"Business Law, Employment, Health Care & Social, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Dean C.M. Hoe, Attorney At Law",https://www.us-barassociation.org/firms/detail/325866b1e1e30fac,"f you, a friend, co-worker, or loved one has been arrested for DUI, the circumstances can be very distressing. We would like to offer you an opportunity to meet with us to answer any questions you might have concerning a recent DUI Arrest and Driver’s License Revocation.",Phone(s): (808) 523-0077,"1136 Bishop Street, Suite 603
Honolulu, Hawaii
96813", Hawaii,N/A,Criminal Defense
Dennis W. Potts Attorney At Law,https://www.us-barassociation.org/firms/detail/c8372e70ea71f398,"Dennis Potts Attorney at Law understands Hawaii's unique laws and restrictions relating to the recovery of damages after a severe personal injury accident. Additionally, there is a two-year limitations period after the accident and injuries occur, in which to file a successful claim.",Phone(s): (808) 537-4575,"841 Bishop Street #1628
Honolulu, Hawaii
96813", Hawaii,N/A,"Motor Vehicle Accidents, Personal Injury"
Dentons,https://www.us-barassociation.org/firms/detail/0d18077d2fd56534,"Driven to provide clients a competitive edge, and connected to the communities where its clients want to do business, Dentons knows that understanding local cultures is crucial to successfully completing a deal, resolving a dispute or solving a business challenge. Now the world's largest law firm, Dentons' global team builds agile, tailored solutions to meet the local, national and global needs of private and public clients of any size in 182 locations serving 74 countries.

We're Polycentric™. Dentons has no single headquarters and no dominant national culture. Diverse in terms of geography, language and nationalities, we proudly offer clients talent from diverse backgrounds and countries with deep experience in every legal tradition in the world. We offer business solutions. Rather than offering theoretical legal analysis, we provide the specific advice required to get a deal done, resolve a dispute or solve a business challenge. We measure our success by the service we provide. Regardless of the scale and scope of your business needs, you get the individual attention you need and deserve. Whether the matter is big or small, if it is important to you, then it is important to us.

At Dentons, we believe that inclusion and diversity are essential to the success and strength of our Firm and the quality of our advice to, and representation of, our clients. We are committed to providing a flexible environment where everyone respects, supports and learns from our collective skills, talents and differences. By attracting, supporting, promoting and retaining individuals from all backgrounds, inclusive of race, ethnicity, faith, religion or spiritual beliefs, gender, gender identity, age, sexual orientation, abilities, social perspective and other characteristics, we create a dynamic and inclusive work environment that is critical to our success. Through our Global Inclusion and Diversity Commission, we are working to support inclusion and create a workplace that reflects the environment in which we and our globally diverse clients operate. We measure success not just in how we run Dentons but how we service our clients. This effort requires ongoing focus to ensure that every member of Dentons, along with our clients across the globe can grow and succeed.",Phone(s): (808) 524-1800,"1001 Bishop Street, Suite 1800
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Family Law, Government, Health Care & Social, Immigration, Industry, Intellectual Property, International Law, Litigation, Real Estate"
"Devens, Nakano, Saito, Lee, Wong & Ching",https://www.us-barassociation.org/firms/detail/491d25bd63b46ed4,"Devens, Nakano, Saito, Lee, Wong & Ching is a respected law firm advocating for clients in Banking Law, Business Succession Planning and Business Law cases. Based in Honolulu, we are familiar with the courts throughout all of Hawaii. Our attorneys have the necessary skill to help you resolve your legal problem. With years of experience, we are focused on your success.

For over 65 years, Devens, Nakano, Saito, Lee, Wong & Ching has provided the highest degree of professional advice and representation to our local, national and international clients.

Our highly experienced attorneys and dedicated staff present an atmosphere that combines friendly, personable and traditional values with a solid, reputable practice of the law.",Phone(s): (808) 521-1456,"220 South King Street, Suite 1600
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Commercial Law, Estate Planning, Immigration, Litigation, Real Estate, Tax"
DeVries & Associates,https://www.us-barassociation.org/firms/detail/5f59135bdea2fee0,"At DeVries & Associates, our mission is to provide exceptional services for businesses, property owners, and condo/HOA boards. We specialize in real estate and business law. Our legal team is responsive and very effective at communicating. The firm utilizes the latest technology to improve",Phone(s): (808) 465-2500,"1164 Bishop Street, Suite 1555
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Commercial Law, Employment, Estate Planning, Litigation, Real Estate"
DeVries and Associates,https://www.us-barassociation.org/firms/detail/58684594dbe3d20b,"We believe that owning a piece of paradise is a big deal and your rights as a property owner are unique. We believe that businesses make the world a better place by providing good and services that improve the quality of life. We believe that there is a better way to provide legal services that doesn't revolve around billable hours.

REAL ESTATE. We know that owning a piece of paradise is a big deal. There is only so much land available and your real estate is unique to you. Plus, Hawaii's real estate laws are complicated and love a challenge. BUSINESS. We believe that businesses make the world a better place through the goods and services they provide. In Hawaii, we have the harshest business climate, so our services have a big impact by enabling companies to focus on what they do best.
?PROBATE / ESTATES. And when the sun sets, we help heirs obtain title to the piece of paradise they inherit.

CIVIL LITIGATION & DISPUTE RESOLUTION. We counsel our clients with strategies to avoid litigation and disputes but, when it's necessary, our legal team is ready to prosecute or defend a lawsuit or arbitration. CONDO/HOA. Community associations make people's lives better and we help boards of directors enforce the governing documents, lead effectively, and more!
?",Phone(s): (808) 465-2500,"75-5591 Palani Rd, Suite 2001
Kailua Kona, Hawaii
96740", Hawaii,N/A,"Business Law, Commercial Law, Estate Planning, Real Estate"
"Doi/Luke, Attorneys at Law, LLLC",https://www.us-barassociation.org/firms/detail/0f43a8ae11ab611b,"Doi / Luke, Attorneys at Law, LLLC is located in Honolulu, Hawaii. For over 20 years, the law firm has proudly served the community with quality legal representation. The lawyers specialize in a variety of practice areas including divorce/family law, bankruptcy, and estate planning.",Phone(s): (808) 593-2199,"1600 Kapiolani Boulevard, Suite 1300
Honolulu, Hawaii
96814", Hawaii,N/A,"Bankruptcy, Business Law, Criminal Defense, Divorce, Estate Planning, Family Law"
Goodsill Anderson Quinn & Stifel,https://www.us-barassociation.org/firms/detail/26614d1617a6a8a9,"Goodsill Anderson Quinn & Stifel has served the legal and business needs of clients in Hawaii and around the world since 1878. With approximately 60 attorneys located in downtown Honolulu, Goodsill is a full-service law firm with experience in a broad range of business matters and practice areas.",Phone(s): (808) 547-5600,"First Hawaiian Center, 999 Bishop Street, Suite 1600
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Industry"
Greg Dunn Bankruptcy and Debt Relief,https://www.us-barassociation.org/firms/detail/8894e0bd57407794,"Greg Dunn is a former Kamehameha Schools Graduate and a Navy JAG Attorney who served aboard the U.S.S. Missouri. Greg has over 25 years experience and compassion to handle your case. Greg has completed over 12,000 cases and he has discharged millions in creditor and tax debts.",Phone(s): (808) 524-4529,"841 Bishop Street, Suite 2221
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law"
"Harrison & Matsuoka, Attorneys at Law",https://www.us-barassociation.org/firms/detail/fd1012886299bfb2,"Harrison & Matsuoka is a criminal defense law firm based in Honolulu, Hawaii. Our attorneys are on your side. We listen to you. Even when you believe you are guilty, we strive to get you the best possible resolution. Just say, ""I want a lawyer"" and call the offices of Harrison & Matsuoka as soon as you are detained by police. We offer free consultations, even over the phone.

Our reputation with the courts precedes us at trial. We are known for our extraordinary commitment to honest and ethical legal representation. This uncompromising integrity has led to long-standing relationships with many prosecutors, county clerks, court recorders, and judges.

Our reputation is why other lawyers, politicians, and police officers turn to us when they need legal representation. They know we will go the extra mile for our clients. We personally conduct investigations and accompany investigators to crime scenes. We do the footwork to make sure that no stone is left unturned in your defense. In court, we work zealously on behalf of our clients, and our dedication to our clients shows in our every aspect of our legal representation.

Our high-profile criminal cases draw the attention of local newspapers, including the Honolulu Advertiser and the Honolulu Star-Bulletin. We get this attention because our attorneys frequently get criminal charges dismissed or reduced in the interests of justice.

We use the media attention to our clients' advantage. Through public statements, we can counteract some of the negative publicity. But as a result of the publicity, our attorneys have been able to convince local bail bondsmen to discount their rates in high-profile cases. These are just a few of the ways we work to help our clients maintain some control over the media limelight.

Despite the media attention we receive, we are discreet, down-to-earth, and friendly. We value our clients’ privacy and do not attract undue attention. We also offer very reasonable rates.

We understand that the possibility of a criminal conviction is traumatic not only to the accused, but to their families too. We handle sensitive legal matters with care and confidentiality. We take the extra steps necessary to protect our clients before, during, and after the case. Our attorneys can help you:

* Seek early termination of probation
* Request a supervised release from jail
* Expunge (seal) a criminal record
* Seal electronic criminal records
* Sealing fingerprints
* File an appeal

We serve clients throughout the Big Island of Hawaii, Oahu, Maui, and Kauai. Our attorneys are licensed to practice in state, federal, military, and appellate courts. We have also been admitted to the bar in Hawaii, New Jersey, California, the Ninth Circuit Court of Appeals, and the United States Supreme Court. In our representation of clients, we have traveled into international jurisdictions—as far as Japan, the Philippines, and New Zealand.",Phone(s): (808) 523-7041,"Davies Pacific Center, 841 Bishop Street, Suite 800
Honolulu, Hawaii
96813", Hawaii,N/A,Criminal Defense
"Hartley & McGehee, LLP",https://www.us-barassociation.org/firms/detail/1cdb78c78ba8b6f5,"Hartley & Mc Gehee, LLP is a family law firm based in Kailua, committed to offering its clients resolution and results. We handle all facets of Family Law including, child custody, paternity, dispute resolution, child support, adoption, temporary restraining orders, military divorce, same sex",Phone(s): (808) 518-2910,"40 Aulike Street, Suite 314
Kailua, Hawaii
96734", Hawaii,N/A,"Criminal Defense, Divorce, Family Law"
James Stone Law Firm,https://www.us-barassociation.org/firms/detail/0b99e0dcc480987f,"The Law Offices of James J. Stone provides clients throughout Hawaii with exceptional legal services in a wide range of areas, including personal injury, wrongful death, medical malpractice, divorce and family law, civil and business litigation, contracts and business law, and government affairs and lobbying.

Firm principal James J. Stone was born and raised in Honolulu, Hawaii and is well aware of Hawaii’s multiple cultures and the needs of Hawaii’s residents and visitors. He attended St. Louis High School and graduated from the University of Hawaii. He was a member of the first graduating class from the University of Hawaii Law School, William S. Richardson School of Law, and has practiced law in Hawaii for over 30 years.

At the Law Offices of James J. Stone, we are committed to maintaining a client-based, service-oriented approach to the practice of law. We offer contingency fee arrangements in personal injury, wrongful death and medical malpractice matters, and affordable rates on all other matters. For the convenience of our clients, we maintain flexible office hours by appointment, offer free parking and close proximity to mass transit, and have translators available. Whether you are facing a bitter divorce or have been injured in an auto accident, need assistance in forming a business or litigating a contract dispute, or are seeking the passage or defeat of legislation, we can help.",Phone(s): (808) 223-7810,"841 Bishop Street, Suite 1711
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Divorce, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Jan Weinberg Attorney At Law,https://www.us-barassociation.org/firms/detail/c9d9138808d6dc2b,"Jan Weinbergs firm takes care of cases pertaining to injuries related to brain, spine and other fatal injuries or wrongful death. The attorney of this firm has negotiated with several insurance companies and has gained major bad faith rewards where insurance corporations have declined to negotiate",Phone(s): (808) 523-9477,"Finance Factors Center 1164 Bishop Street, Suite 1200
Honolulu, Hawaii
96813", Hawaii,N/A,"Motor Vehicle Accidents, Personal Injury"
"Josh James Attorney at Law, LLLC",https://www.us-barassociation.org/firms/detail/08896eb05acf812c,"Providing Maui, Oahu, Hawaii, Molokai, Lanai, And Kauai With Legal And Attorney Services In The Areas Of Probate Law, Estate Planning, Landlord-tenant Law, Criminal And Juvenile Defense, And Workers Compensation. I Also Provide General Legal And Attorney Services.",Phone(s): (808) 419-6937,"2158 Main Street,, Suite 109
Wailuku, Hawaii
96793", Hawaii,N/A,"Criminal Defense, Estate Planning"
Kawamura Law Office,https://www.us-barassociation.org/firms/detail/4aa9b7dd18bcb1d5,"over 22 years. He is formerly NBC Hawaii News 8s Legal Expert. He has successfully represented thousands of people for injury and death claims occurring in Hawaii and has collected hundreds of debts for individuals and companies.

While many of his clients are Hawaii residents, he has also",Phone(s): (808) 523-3777,"320 Ward Ave, Suite 201
Honolulu, Hawaii
96814", Hawaii,N/A,Bankruptcy
Kobayashi Sugita & Goda LLP,https://www.us-barassociation.org/firms/detail/aae664002a6f8e87,"Since its inception in 1971, Kobayashi Sugita & Goda (KS&G) has been the law firm of choice for Hawaii’s most successful businesses, and has routinely guided the biggest companies in the world through Hawaii’s unique business environment. We’ve built a reputation for tackling the tough issues and going the extra mile, whether we’re engaged in complex litigation or delicate business relations. Our objective is simple: to surpass the expectations of our clients—with work of the highest caliber, performed with the utmost efficiency, to attain the best results possible.

The strength of our firm is evidenced inside and outside the courtroom. KS&G is one of the few firms in Hawaii that is deeply entwined in the fabric of our community. Our clients enjoy the benefit of our firm’s unparalleled understanding of Hawaii’s business, governmental and community leaders. These relationships allow our attorneys to craft effective and practical solutions to meet our clients’ needs. Integrity is fundamental to our practice. It is at the heart of the long-term relationships we enjoy with our clients. This integrity is essential to the credibility we enjoy when working with the leaders of our community and others from the mainland or around the Pacific Rim.

Adhering to these core principles has allowed KS&G to represent clients in the largest, most complex litigation matters in the history of the State, and has facilitated corporate transactions that have literally shaped the landscape of Hawaii. Collectively, our attorneys possess a wealth of knowledge and expertise that allows the firm to respond to client needs in key areas of the law. KS&G attorneys have attained a high level of success in a host of practice areas. Many are consistently noted by their peers and industry leaders as being among the top lawyers in Hawaii.",Phone(s): (808) 535-5700,"999 Bishop Street, Suite 2600
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Commercial Law, Employment, Estate Planning, Government, Immigration, Intellectual Property, Litigation, Personal Injury, Real Estate"
Kurzban Kurzban Tetzeli and Pratt P.A.,https://www.us-barassociation.org/firms/detail/c99ca08f223420bd,"Whether you are facing an immigration obstacle, a serious injury or a legal issue in your business, we will aggressively protect your best interests. Our award-winning legal team has served clients in Florida and around the world for more than 40 years. Founding partner Ira Kurzban authored the Immigration Law Sourcebook. This reference guide is widely used by judges, government officials and other immigration lawyers. As a recognized leader in immigration law and litigation, we handle a broad spectrum of matters from family and employment-based visas to deportation defense and immigration appeals.

Kurzban Kurzban Tetzeli and Pratt P.A. has offered strong legal representation for more than four decades. Based in Coral Gables, we provide hands-on legal solutions to both local and international clients. Our talented and passionate attorneys are litigators at heart. We work in tandem with a network of local counsels to obtain results in truly challenging cases. Our team has obtained trial and appellate court victories in Florida, Hawaii and throughout the United States.

As a premier Florida law firm, Kurzban Kurzban Tetzeli and Pratt P.A. has developed a national and international reputation for aggressive advocacy that gets results. We have the experience to offer full-service immigration solutions, business solutions and commercial consulting to international clients. Our business and commercial law attorneys represent clients in federal and state courts and in arbitration and mediation. They are zealous advocates who prioritize practical and cost-effective solutions. Our serious injury attorneys have set the standard by obtaining record-setting verdicts in medical malpractice and catastrophic injury cases. We have achieved justice for clients, and we have also changed laws to pave the way for other injured plaintiffs.",Phone(s): (786) 401-4706,"1003 Bishop Street, Suite 1600
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Commercial Law, Employment, Immigration, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
